game_id,season,week,gameday,home,away,home_score,away_score,home_win,margin,is_divisional,home_points_for_r3,home_points_against_r3,home_pass_yards_for_r3,home_rush_yards_for_r3,home_pass_yards_against_r3,home_rush_yards_against_r3,home_turnovers_for_r3,home_takeaways_for_r3,home_to_diff_r3,home_points_for_r4,home_points_against_r4,home_pass_yards_for_r4,home_rush_yards_for_r4,home_pass_yards_against_r4,home_rush_yards_against_r4,home_turnovers_for_r4,home_takeaways_for_r4,home_to_diff_r4,away_points_for_r3,away_points_against_r3,away_pass_yards_for_r3,away_rush_yards_for_r3,away_pass_yards_against_r3,away_rush_yards_against_r3,away_turnovers_for_r3,away_takeaways_for_r3,away_to_diff_r3,away_points_for_r4,away_points_against_r4,away_pass_yards_for_r4,away_rush_yards_for_r4,away_pass_yards_against_r4,away_rush_yards_against_r4,away_turnovers_for_r4,away_takeaways_for_r4,away_to_diff_r4
2009_01_TEN_PIT,2009,1,2009-09-10,PIT,TEN,13.0,10.0,1,3.0,0.0,,,0.0,-2.0,,,,,,,,0.0,2.0,,,,,,,,0.0,38.5,,,,,,,,0.0,26.0,,,,,
2009_01_MIA_ATL,2009,1,2009-09-13,ATL,MIA,19.0,7.0,1,12.0,0.0,,,0.0,1.0,,,,,,,,0.0,0.6666666666666666,,,,,,,,0.0,3.0,,,,,,,,71.33333333333333,6.333333333333333,,,,,
2009_01_KC_BAL,2009,1,2009-09-13,BAL,KC,38.0,24.0,1,14.0,0.0,,,0.0,111.0,,,,,,,,0.0,74.0,,,,,,,,0.0,0.0,,,,,,,,0.0,13.0,,,,,
2009_01_PHI_CAR,2009,1,2009-09-13,CAR,PHI,10.0,38.0,0,-28.0,0.0,,,0.0,2.0,,,,,,,,0.0,1.3333333333333333,,,,,,,,0.0,10.0,,,,,,,,0.0,25.666666666666668,,,,,
2009_01_DEN_CIN,2009,1,2009-09-13,CIN,DEN,7.0,12.0,0,-5.0,0.0,,,74.0,6.5,,,,,,,,49.333333333333336,4.333333333333333,,,,,,,,0.0,7.5,,,,,,,,0.0,17.333333333333332,,,,,
2009_01_MIN_CLE,2009,1,2009-09-13,CLE,MIN,20.0,34.0,0,-14.0,0.0,,,0.0,34.5,,,,,,,,0.0,23.0,,,,,,,,0.0,58.5,,,,,,,,0.0,39.0,,,,,
2009_01_NYJ_HOU,2009,1,2009-09-13,HOU,NYJ,7.0,24.0,0,-17.0,0.0,,,0.0,8.0,,,,,,,,0.0,5.333333333333333,,,,,,,,0.0,0.0,,,,,,,,0.0,2.0,,,,,
2009_01_JAX_IND,2009,1,2009-09-13,IND,JAX,14.0,12.0,1,2.0,0.0,,,0.0,0.0,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,,,,,
2009_01_DET_NO,2009,1,2009-09-13,NO,DET,45.0,27.0,1,18.0,0.0,,,0.0,10.0,,,,,,,,0.0,6.666666666666667,,,,,,,,72.0,21.5,,,,,,,,48.0,14.666666666666666,,,,,
2009_01_DAL_TB,2009,1,2009-09-13,TB,DAL,21.0,34.0,0,-13.0,0.0,,,0.0,6.0,,,,,,,,0.0,4.0,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,,,,,
2009_01_SF_ARI,2009,1,2009-09-13,ARI,SF,16.0,20.0,0,-4.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,29.5,,,,,,,,0.0,36.0,,,,,
2009_01_WAS_NYG,2009,1,2009-09-13,NYG,WAS,23.0,17.0,1,6.0,0.0,,,120.0,11.5,,,,,,,,80.0,7.666666666666667,,,,,,,,87.5,4.0,,,,,,,,58.333333333333336,6.333333333333333,,,,,
2009_01_STL_SEA,2009,1,2009-09-13,SEA,STL,28.0,0.0,1,28.0,0.0,,,0.0,0.0,,,,,,,,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
2009_01_CHI_GB,2009,1,2009-09-13,GB,CHI,21.0,15.0,1,6.0,0.0,,,0.0,30.5,,,,,,,,0.0,20.333333333333332,,,,,,,,0.0,0.0,,,,,,,,83.66666666666667,8.0,,,,,
2009_01_BUF_NE,2009,1,2009-09-14,NE,BUF,25.0,24.0,1,1.0,0.0,,,0.0,19.5,,,,,,,,0.0,13.0,,,,,,,,0.0,0.0,,,,,,,,0.0,16.666666666666668,,,,,
2009_01_SD_OAK,2009,1,2009-09-14,OAK,SD,20.0,24.0,0,-4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009_02_CAR_ATL,2009,2,2009-09-20,ATL,CAR,28.0,20.0,1,8.0,0.0,,,76.33333333333333,1.0,,,,,,,,57.25,0.75,,,,,,,,0.0,12.0,,,,,,,,15.75,9.0,,,,,
2009_02_MIN_DET,2009,2,2009-09-20,DET,MIN,13.0,27.0,0,-14.0,0.0,,,68.33333333333333,4.333333333333333,,,,,,,,51.25,8.25,,,,,,,,0.0,67.33333333333333,,,,,,,,0.0,50.25,,,,,
2009_02_CIN_GB,2009,2,2009-09-20,GB,CIN,24.0,31.0,0,-7.0,0.0,,,0.0,2.6666666666666665,,,,,,,,0.0,2.0,,,,,,,,0.0,-2.0,,,,,,,,0.0,0.0,,,,,
2009_02_ARI_JAX,2009,2,2009-09-20,JAX,ARI,17.0,31.0,0,-14.0,0.0,,,0.0,32.333333333333336,,,,,,,,0.0,24.25,,,,,,,,0.0,14.666666666666666,,,,,,,,0.0,11.0,,,,,
2009_02_OAK_KC,2009,2,2009-09-20,KC,OAK,10.0,13.0,0,-3.0,0.0,,,0.0,3.0,,,,,,,,0.0,2.25,,,,,,,,,,,,,,,,,,,,,,,
2009_02_NE_NYJ,2009,2,2009-09-20,NYJ,NE,16.0,9.0,1,7.0,0.0,,,90.66666666666667,2.0,,,,,,,,68.0,1.5,,,,,,,,0.0,10.666666666666666,,,,,,,,0.0,8.0,,,,,
2009_02_NO_PHI,2009,2,2009-09-20,PHI,NO,22.0,48.0,0,-26.0,0.0,,,0.0,26.333333333333332,,,,,,,,5.75,20.75,,,,,,,,0.0,0.0,,,,,,,,0.0,3.5,,,,,
2009_02_HOU_TEN,2009,2,2009-09-20,TEN,HOU,31.0,34.0,0,-3.0,0.0,,,0.0,19.0,,,,,,,,0.0,14.25,,,,,,,,0.0,5.666666666666667,,,,,,,,0.0,4.25,,,,,
2009_02_STL_WAS,2009,2,2009-09-20,WAS,STL,9.0,7.0,1,2.0,0.0,,,70.33333333333333,5.333333333333333,,,,,,,,52.75,4.0,,,,,,,,,,,,,,,,,,,,,,,
2009_02_TB_BUF,2009,2,2009-09-20,BUF,TB,33.0,20.0,1,13.0,0.0,,,0.0,2.6666666666666665,,,,,,,,53.0,8.25,,,,,,,,0.0,1.3333333333333333,,,,,,,,0.0,1.0,,,,,
2009_02_SEA_SF,2009,2,2009-09-20,SF,SEA,23.0,10.0,1,13.0,0.0,,,0.0,-1.0,,,,,,,,0.0,-0.75,,,,,,,,0.0,5.666666666666667,,,,,,,,0.0,4.25,,,,,
2009_02_PIT_CHI,2009,2,2009-09-20,CHI,PIT,17.0,14.0,1,3.0,0.0,,,0.0,18.333333333333332,,,,,,,,0.0,17.5,,,,,,,,0.0,2.0,,,,,,,,0.0,1.5,,,,,
2009_02_CLE_DEN,2009,2,2009-09-20,DEN,CLE,27.0,6.0,1,21.0,0.0,,,0.0,7.0,,,,,,,,0.0,5.25,,,,,,,,68.33333333333333,8.666666666666666,,,,,,,,51.25,6.5,,,,,
2009_02_BAL_SD,2009,2,2009-09-20,SD,BAL,26.0,31.0,0,-5.0,0.0,,,,,,,,,,,,,,,,,,,,,102.33333333333333,48.333333333333336,,,,,,,,76.75,38.5,,,,,
2009_02_NYG_DAL,2009,2,2009-09-20,DAL,NYG,31.0,33.0,0,-2.0,0.0,,,0.0,10.666666666666666,,,,,,,,0.0,8.0,,,,,,,,0.0,20.0,,,,,,,,0.0,15.0,,,,,
2009_02_IND_MIA,2009,2,2009-09-21,MIA,IND,23.0,27.0,0,-4.0,0.0,,,0.0,0.0,,,,,,,,0.0,0.0,,,,,,,,0.0,11.0,,,,,,,,0.0,8.25,,,,,
2009_03_CLE_BAL,2009,3,2009-09-27,BAL,CLE,34.0,3.0,1,31.0,0.0,,,63.333333333333336,17.0,,,,,,,,47.5,12.75,,,,,,,,53.666666666666664,1.3333333333333333,,,,,,,,40.25,3.0,,,,,
2009_03_WAS_DET,2009,3,2009-09-27,DET,WAS,19.0,14.0,1,5.0,0.0,,,50.666666666666664,5.666666666666667,,,,,,,,38.0,4.25,,,,,,,,0.0,0.0,,,,,,,,0.0,1.25,,,,,
2009_03_JAX_HOU,2009,3,2009-09-27,HOU,JAX,24.0,31.0,0,-7.0,0.0,,,0.0,11.333333333333334,,,,,,,,0.0,8.5,,,,,,,,0.0,0.3333333333333333,,,,,,,,0.0,16.75,,,,,
2009_03_SF_MIN,2009,3,2009-09-27,MIN,SF,27.0,24.0,1,3.0,0.0,,,0.0,35.333333333333336,,,,,,,,3.5,25.75,,,,,,,,0.0,4.333333333333333,,,,,,,,0.0,4.0,,,,,
2009_03_ATL_NE,2009,3,2009-09-27,NE,ATL,26.0,10.0,1,16.0,0.0,,,0.0,7.666666666666667,,,,,,,,0.0,5.75,,,,,,,,73.33333333333333,15.333333333333334,,,,,,,,55.0,11.5,,,,,
2009_03_TEN_NYJ,2009,3,2009-09-27,NYJ,TEN,24.0,17.0,1,7.0,0.0,,,54.333333333333336,-0.6666666666666666,,,,,,,,40.75,14.0,,,,,,,,0.0,65.66666666666667,,,,,,,,0.0,49.25,,,,,
2009_03_KC_PHI,2009,3,2009-09-27,PHI,KC,34.0,14.0,1,20.0,0.0,,,0.0,11.0,,,,,,,,0.0,8.25,,,,,,,,0.0,14.0,,,,,,,,0.0,10.5,,,,,
2009_03_GB_STL,2009,3,2009-09-27,STL,GB,17.0,36.0,0,-19.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,,,,,
2009_03_NYG_TB,2009,3,2009-09-27,TB,NYG,0.0,24.0,0,-24.0,0.0,,,0.0,0.0,,,,,,,,0.0,0.0,,,,,,,,0.0,12.333333333333334,,,,,,,,0.0,9.25,,,,,
2009_03_NO_BUF,2009,3,2009-09-27,BUF,NO,7.0,27.0,0,-20.0,0.0,,,0.0,3.0,,,,,,,,57.5,8.25,,,,,,,,0.0,5.0,,,,,,,,0.0,3.75,,,,,
2009_03_CHI_SEA,2009,3,2009-09-27,SEA,CHI,19.0,25.0,0,-6.0,0.0,,,0.0,11.666666666666666,,,,,,,,0.0,11.5,,,,,,,,0.0,0.0,,,,,,,,0.0,7.25,,,,,
2009_03_PIT_CIN,2009,3,2009-09-27,CIN,PIT,23.0,20.0,1,3.0,0.0,,,0.0,2.3333333333333335,,,,,,,,0.0,1.75,,,,,,,,0.0,13.0,,,,,,,,0.0,9.75,,,,,
2009_03_DEN_OAK,2009,3,2009-09-27,OAK,DEN,3.0,23.0,0,-20.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,25.666666666666668,,,,,,,,0.0,22.75,,,,,
2009_03_MIA_SD,2009,3,2009-09-27,SD,MIA,23.0,13.0,1,10.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,,,,,
2009_03_IND_ARI,2009,3,2009-09-27,ARI,IND,10.0,31.0,0,-21.0,0.0,,,0.0,39.333333333333336,,,,,,,,0.0,29.5,,,,,,,,0.0,8.666666666666666,,,,,,,,0.0,6.5,,,,,
2009_03_CAR_DAL,2009,3,2009-09-28,DAL,CAR,21.0,7.0,1,14.0,0.0,,,0.0,34.666666666666664,,,,,,,,0.0,26.0,,,,,,,,0.0,21.666666666666668,,,,,,,,0.0,16.25,,,,,
2009_04_DET_CHI,2009,4,2009-10-04,CHI,DET,48.0,24.0,1,24.0,0.0,,,0.0,22.0,,,,,,,,0.0,18.5,,,,,,,,80.33333333333333,9.666666666666666,,,,,,,,60.25,8.5,,,,,
2009_04_CIN_CLE,2009,4,2009-10-04,CLE,CIN,20.0,23.0,0,-3.0,0.0,,,11.333333333333334,6.333333333333333,,,,,,,,8.5,4.75,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,,,,,
2009_04_OAK_HOU,2009,4,2009-10-04,HOU,OAK,29.0,6.0,1,23.0,0.0,,,0.0,25.333333333333332,,,,,,,,0.0,19.0,,,,,,,,,,,,,,,,,,,,,,,
2009_04_SEA_IND,2009,4,2009-10-04,IND,SEA,34.0,17.0,1,17.0,0.0,,,0.0,19.0,,,,,,,,0.0,30.0,,,,,,,,0.0,1.3333333333333333,,,,,,,,0.0,1.0,,,,,
2009_04_TEN_JAX,2009,4,2009-10-04,JAX,TEN,37.0,17.0,1,20.0,0.0,,,0.0,12.0,,,,,,,,0.0,38.75,,,,,,,,0.0,32.333333333333336,,,,,,,,0.0,24.25,,,,,
2009_04_NYG_KC,2009,4,2009-10-04,KC,NYG,16.0,27.0,0,-11.0,0.0,,,30.0,11.666666666666666,,,,,,,,29.0,14.25,,,,,,,,0.0,7.666666666666667,,,,,,,,0.0,31.75,,,,,
2009_04_BAL_NE,2009,4,2009-10-04,NE,BAL,27.0,21.0,1,6.0,0.0,,,0.0,7.333333333333333,,,,,,,,0.0,5.5,,,,,,,,114.0,17.666666666666668,,,,,,,,86.5,13.25,,,,,
2009_04_TB_WAS,2009,4,2009-10-04,WAS,TB,16.0,13.0,1,3.0,0.0,,,0.0,0.0,,,,,,,,85.0,5.25,,,,,,,,12.0,7.666666666666667,,,,,,,,9.0,5.75,,,,,
2009_04_BUF_MIA,2009,4,2009-10-04,MIA,BUF,38.0,10.0,1,28.0,0.0,,,30.666666666666668,4.333333333333333,,,,,,,,23.0,3.25,,,,,,,,0.0,1.6666666666666667,,,,,,,,39.0,4.5,,,,,
2009_04_NYJ_NO,2009,4,2009-10-04,NO,NYJ,24.0,10.0,1,14.0,0.0,,,0.0,50.0,,,,,,,,0.0,37.5,,,,,,,,57.0,3.3333333333333335,,,,,,,,42.75,14.0,,,,,
2009_04_DAL_DEN,2009,4,2009-10-04,DEN,DAL,17.0,10.0,1,7.0,0.0,,,0.0,30.333333333333332,,,,,,,,0.0,24.0,,,,,,,,0.0,58.666666666666664,,,,,,,,0.0,44.0,,,,,
2009_04_STL_SF,2009,4,2009-10-04,SF,STL,35.0,0.0,1,35.0,0.0,,,0.0,18.0,,,,,,,,0.0,13.5,,,,,,,,,,,,,,,,,,,,,,,
2009_04_SD_PIT,2009,4,2009-10-04,PIT,SD,38.0,28.0,1,10.0,0.0,,,0.0,0.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
2009_04_GB_MIN,2009,4,2009-10-05,MIN,GB,30.0,23.0,1,7.0,0.0,,,0.0,25.666666666666668,,,,,,,,0.0,19.25,,,,,,,,0.0,0.3333333333333333,,,,,,,,0.0,0.25,,,,,
2009_05_CIN_BAL,2009,5,2009-10-11,BAL,CIN,14.0,17.0,0,-3.0,0.0,,,88.0,35.0,,,,,,,,66.0,26.25,,,,,,,,0.0,18.666666666666668,,,,,,,,0.0,14.0,,,,,
2009_05_CLE_BUF,2009,5,2009-10-11,BUF,CLE,3.0,6.0,0,-3.0,0.0,,,64.0,15.333333333333334,,,,,,,,48.0,11.5,,,,,,,,0.0,43.0,,,,,,,,67.25,32.75,,,,,
2009_05_WAS_CAR,2009,5,2009-10-11,CAR,WAS,20.0,17.0,1,3.0,0.0,,,0.0,-0.3333333333333333,,,,,,,,0.0,-0.25,,,,,,,,0.0,2.6666666666666665,,,,,,,,42.5,7.0,,,,,
2009_05_PIT_DET,2009,5,2009-10-11,DET,PIT,20.0,28.0,0,-8.0,0.0,,,98.66666666666667,7.666666666666667,,,,,,,,74.0,8.75,,,,,,,,0.0,55.0,,,,,,,,0.0,43.0,,,,,
2009_05_DAL_KC,2009,5,2009-10-11,KC,DAL,20.0,26.0,0,-6.0,0.0,,,0.0,9.0,,,,,,,,0.0,6.75,,,,,,,,0.0,11.0,,,,,,,,0.0,8.25,,,,,
2009_05_OAK_NYG,2009,5,2009-10-11,NYG,OAK,44.0,7.0,1,37.0,0.0,,,0.0,0.0,,,,,,,,0.0,16.0,,,,,,,,,,,,,,,,,,,,,,,
2009_05_TB_PHI,2009,5,2009-10-11,PHI,TB,33.0,14.0,1,19.0,0.0,,,0.0,27.666666666666668,,,,,,,,0.0,20.75,,,,,,,,35.333333333333336,14.666666666666666,,,,,,,,26.5,30.25,,,,,
2009_05_MIN_STL,2009,5,2009-10-11,STL,MIN,10.0,38.0,0,-28.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,18.333333333333332,,,,,,,,0.0,13.75,,,,,
2009_05_ATL_SF,2009,5,2009-10-11,SF,ATL,10.0,45.0,0,-35.0,0.0,,,0.0,24.666666666666668,,,,,,,,0.0,22.5,,,,,,,,66.33333333333333,0.6666666666666666,,,,,,,,49.75,14.5,,,,,
2009_05_HOU_ARI,2009,5,2009-10-11,ARI,HOU,28.0,21.0,1,7.0,0.0,,,0.0,6.666666666666667,,,,,,,,0.0,5.0,,,,,,,,0.0,21.666666666666668,,,,,,,,0.0,16.25,,,,,
2009_05_NE_DEN,2009,5,2009-10-11,DEN,NE,20.0,17.0,1,3.0,0.0,,,0.0,21.666666666666668,,,,,,,,0.0,16.25,,,,,,,,0.0,2.0,,,,,,,,0.0,1.5,,,,,
2009_05_JAX_SEA,2009,5,2009-10-11,SEA,JAX,41.0,0.0,1,41.0,0.0,,,0.0,0.0,,,,,,,,0.0,0.0,,,,,,,,0.0,18.666666666666668,,,,,,,,0.0,16.25,,,,,
2009_05_IND_TEN,2009,5,2009-10-11,TEN,IND,9.0,31.0,0,-22.0,0.0,,,0.0,27.666666666666668,,,,,,,,0.0,20.75,,,,,,,,0.0,11.0,,,,,,,,0.0,8.25,,,,,
2009_05_NYJ_MIA,2009,5,2009-10-12,MIA,NYJ,31.0,27.0,1,4.0,0.0,,,38.333333333333336,4.0,,,,,,,,28.75,3.0,,,,,,,,46.0,15.666666666666666,,,,,,,,34.5,11.75,,,,,
2009_06_HOU_CIN,2009,6,2009-10-18,CIN,HOU,17.0,28.0,0,-11.0,0.0,,,0.0,1.3333333333333333,,,,,,,,0.0,1.0,,,,,,,,0.0,13.0,,,,,,,,0.0,9.75,,,,,
2009_06_DET_GB,2009,6,2009-10-18,GB,DET,26.0,0.0,1,26.0,0.0,,,0.0,3.3333333333333335,,,,,,,,0.0,2.5,,,,,,,,0.0,2.6666666666666665,,,,,,,,0.0,15.25,,,,,
2009_06_STL_JAX,2009,6,2009-10-18,JAX,STL,23.0,20.0,1,3.0,0.0,,,0.0,1.0,,,,,,,,0.0,0.75,,,,,,,,,,,,,,,,,,,,,,,
2009_06_BAL_MIN,2009,6,2009-10-18,MIN,BAL,33.0,31.0,1,2.0,0.0,,,0.0,23.0,,,,,,,,17.0,17.25,,,,,,,,62.0,28.0,,,,,,,,46.5,21.0,,,,,
2009_06_NYG_NO,2009,6,2009-10-18,NO,NYG,48.0,27.0,1,21.0,0.0,,,0.0,33.0,,,,,,,,0.0,24.75,,,,,,,,0.0,5.333333333333333,,,,,,,,0.0,4.0,,,,,
2009_06_CLE_PIT,2009,6,2009-10-18,PIT,CLE,27.0,14.0,1,13.0,0.0,,,0.0,25.666666666666668,,,,,,,,0.0,19.25,,,,,,,,0.0,0.0,,,,,,,,0.0,5.25,,,,,
2009_06_CAR_TB,2009,6,2009-10-18,TB,CAR,21.0,28.0,0,-7.0,0.0,,,80.0,13.333333333333334,,,,,,,,60.0,12.0,,,,,,,,0.0,13.0,,,,,,,,0.0,19.75,,,,,
2009_06_KC_WAS,2009,6,2009-10-18,WAS,KC,6.0,14.0,0,-8.0,0.0,,,0.0,0.0,,,,,,,,0.0,1.5,,,,,,,,0.0,3.0,,,,,,,,0.0,2.25,,,,,
2009_06_PHI_OAK,2009,6,2009-10-18,OAK,PHI,13.0,9.0,1,4.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,4.666666666666667,,,,,,,,0.0,3.5,,,,,
